time[sec],pulse_O,pulse_1
0,12386,18264
0.05786133,32428,40682
0.1123123,38216,55310
0.1640244,40292,58536
0.2187424,43626,61838
0.2718964,44924,64950
0.3221359,46386,66506
0.3763275,48326,68414
0.4307022,49172,69536
0.481781,50020,70144
0.5384216,51252,69746
0.5898438,52064,69702
0.6423492,52940,70056
0.6938019,55562,68262
0.7441635,56544,63656
0.7943039,57016,62312
0.8506927,56968,61636
0.9075928,53914,70986
0.9578247,56806,70258
1.009682,55808,71842
1.065094,56110,72004
1.11953,56350,72238
1.171783,57090,72078
1.225349,56844,72910
1.283676,56912,72870
1.338051,57230,73180
1.39212,57984,72860
1.444855,57918,73372
1.495979,58074,72984
1.551758,57956,73780
1.602798,58162,73804
1.654655,57908,73934
1.710594,58294,73606
1.76416,58228,74322
1.814537,58346,74030
1.869583,58368,74144
1.923042,58374,74254
1.975327,58504,74378
2.029541,58772,74494
2.08474,58896,74290
2.134911,58738,74610
2.186287,58876,74764
2.236664,58930,74786
2.293732,58922,74854
2.343872,59220,74632
2.395454,59242,74774
2.448181,59306,74640
2.503571,59210,74758
2.555946,59086,74682
2.618706,59522,73884
2.673744,59540,73796
2.723923,59892,69206
2.779739,60132,72918
2.833099,59974,75544
2.886848,59832,76824
2.939499,60068,75876
2.989525,51046,69938
3.041824,42092,57570
3.094742,39260,46956
3.149933,29992,28906
3.206795,1770,0
Completed,Completed,Completed
