miyakami,26,right,0,0,50,n,p3,21975
miyakami,26,right,1,0,50,n,p3,19096
miyakami,26,right,1,0,50,n,p3,25172
miyakami,26,right,0,0,50,n,p1,13584
miyakami,26,right,1,0,50,n,p1,16383
miyakami,26,right,0,0,50,n,p2,21155
miyakami,26,right,0,970,50,e,p2,30504
miyakami,26,right,0,970,50,e,p3,15844
miyakami,26,right,1,970,50,e,p3,32063
miyakami,26,right,1,970,50,e,p3,8525
miyakami,26,right,3,970,50,e,p3,19674
miyakami,26,right,4,970,50,e,p3,55729
miyakami,26,right,5,970,50,e,p3,32477
miyakami,26,right,0,970,50,e,p1,25310
miyakami,26,right,0,970,50,v,p3,41479
miyakami,26,right,0,970,50,v,p2,21861
miyakami,26,right,0,970,50,v,p2,31531
miyakami,26,right,0,970,50,v,p1,25299
